Date,t,PE,PanFactor
11/20/2019,1,4.328571429,0.7
11/21/2019,2,4.457142857,0.7
11/22/2019,3,4.8,0.7
11/23/2019,4,3.971428571,0.7
11/24/2019,5,4.8,0.7
11/25/2019,6,4.785714286,0.7
11/26/2019,7,4.485714286,0.7
11/27/2019,8,2.771428571,0.7
11/28/2019,9,3.028571429,0.7
11/29/2019,10,2.357142857,0.7
11/30/2019,11,2.728571429,0.7
12/1/2019,12,2.371428571,0.7
12/2/2019,13,3.614285714,0.7
12/3/2019,14,3.728571429,0.7
12/4/2019,15,3.9,0.7
12/5/2019,16,3.471428571,0.7
12/6/2019,17,3.7,0.7
12/7/2019,18,3.685714286,0.7
12/8/2019,19,3.528571429,0.7
12/9/2019,20,3.414285714,0.7
12/10/2019,21,3.485714286,0.7
12/11/2019,22,3.485714286,0.7
12/12/2019,23,3.857142857,0.7
12/13/2019,24,3.214285714,0.7
12/14/2019,25,4.271428571,0.7
12/15/2019,26,3.742857143,0.7
12/16/2019,27,3.771428571,0.7
12/17/2019,28,3.1,0.7
12/18/2019,29,3.3,0.7
12/19/2019,30,3.371428571,0.7
12/20/2019,31,3.357142857,0.7
12/21/2019,32,3.385714286,0.7
12/22/2019,33,3.3,0.7
12/23/2019,34,3.2,0.7
12/24/2019,35,2.942857143,0.7
12/25/2019,36,3.642857143,0.7
12/26/2019,37,3.257142857,0.7
12/27/2019,38,3.6,0.7
12/28/2019,39,3.185714286,0.7
12/29/2019,40,2.9,0.7
12/30/2019,41,3.114285714,0.7
12/31/2019,42,3.528571429,0.7
1/1/2020,43,2.957142857,0.7
1/2/2020,44,4.257142857,0.7
1/3/2020,45,4.014285714,0.7
1/4/2020,46,3.557142857,0.7
1/5/2020,47,2.714285714,0.7
1/6/2020,48,3.057142857,0.7
1/7/2020,49,3.328571429,0.7
1/8/2020,50,2.928571429,0.7
1/9/2020,51,3.014285714,0.7
1/10/2020,52,3.642857143,0.7
1/11/2020,53,3.3,0.7
1/12/2020,54,3.128571429,0.7
1/13/2020,55,2.571428571,0.7
1/14/2020,56,3.085714286,0.7
1/15/2020,57,3.014285714,0.7
1/16/2020,58,2.985714286,0.7
1/17/2020,59,3.3,0.7
1/18/2020,60,3.171428571,0.7
1/19/2020,61,3.128571429,0.7
1/20/2020,62,4.3,0.7
1/21/2020,63,3.585714286,0.7
1/22/2020,64,4.142857143,0.7
1/23/2020,65,4.371428571,0.7
1/24/2020,66,4.228571429,0.7
1/25/2020,67,4.071428571,0.7
1/26/2020,68,3.357142857,0.7
1/27/2020,69,3.8,0.7
1/28/2020,70,3.414285714,0.7
1/29/2020,71,3.5,0.7
1/30/2020,72,3.357142857,0.7
1/31/2020,73,3.5,0.7
2/1/2020,74,3.657142857,0.7
2/2/2020,75,3.471428571,0.7
2/3/2020,76,3.857142857,0.7
2/4/2020,77,3.814285714,0.7
2/5/2020,78,3.671428571,0.7
2/6/2020,79,3.657142857,0.7
2/7/2020,80,4.171428571,0.7
2/8/2020,81,4.114285714,0.7
2/9/2020,82,3.814285714,0.7
2/10/2020,83,4.185714286,0.7
2/11/2020,84,3.914285714,0.7
2/12/2020,85,5.728571429,0.7
2/13/2020,86,3.957142857,0.7
2/14/2020,87,4,0.7
2/15/2020,88,4.371428571,0.7
2/16/2020,89,4.971428571,0.7
2/17/2020,90,5.557142857,0.7
2/18/2020,91,5.1,0.7
2/19/2020,92,4.685714286,0.7
2/20/2020,93,4.157142857,0.7
2/21/2020,94,4.042857143,0.7
2/22/2020,95,4.9,0.7
2/23/2020,96,6.271428571,0.7
2/24/2020,97,5.871428571,0.7
2/25/2020,98,4.842857143,0.7
2/26/2020,99,4.614285714,0.7
2/27/2020,100,4.771428571,0.7
2/28/2020,101,4.385714286,0.7
2/29/2020,102,4.6,0.7
3/1/2020,103,4.985714286,0.7
3/2/2020,104,4.471428571,0.7
3/3/2020,105,4.357142857,0.7
3/4/2020,106,4.728571429,0.7
3/5/2020,107,5.314285714,0.7
3/6/2020,108,5.414285714,0.7
3/7/2020,109,5.4,0.7
3/8/2020,110,4.5,0.7
3/9/2020,111,5.257142857,0.7
3/10/2020,112,4.471428571,0.7
3/11/2020,113,5.157142857,0.7
3/12/2020,114,5.142857143,0.7
3/13/2020,115,4.985714286,0.7
3/14/2020,116,4.728571429,0.7
3/15/2020,117,5.114285714,0.7
3/16/2020,118,4.828571429,0.7
3/17/2020,119,5.2,0.7
3/18/2020,120,6.057142857,0.7
